conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1844317913697878350,Fri Oct 11 09:46:58 +0000 2024,11,@kanecaaa @ardianpancaa Gila.Bang Komeng disitu serius mau merjuangin seni budaya malah disuruh jadi penghibur doank?lu kata dia Jester (pelawak kerajaan) kek di abad pertengahan?,1844676054511952101,,kanecaaa,in,,0,0,1,https://x.com/NeoVer_Dante/status/1844676054511952101,892919331666796544,NeoVer_Dante
1844574448885825717,Fri Oct 11 09:46:38 +0000 2024,0,@tempodotco Yg menempatkan Komeng di pertanian dialah perusak negara wajib dihukum ...dia sengaja membuat negara ini rusak dengan cara menempatkan seseorang tidak pada bidang nya jahat nya ini ...tolong publikasikan siapa org yg menempatkan seniman ke pertanian ...tolong media publikasikan,1844675971456336148,,tempodotco,in,Поранешна Југословенска Републ,0,0,0,https://x.com/wordcode7037/status/1844675971456336148,438520393,wordcode7037
1844675100626559312,Fri Oct 11 09:43:11 +0000 2024,0,Makanya saya tuh paling setuju kayak Bang Komeng gini. Bikin dulu reputasi supaya masyarakat tau siapa kita kredibilitas kita character dan personality. Baru mencalonkan diri tanpa bekingan siapapun. Tapi memang untuk sekarang kakistokrasi sudah ada sistem yg berjalan,1844675100626559312,,,in,,0,0,0,https://x.com/bedul_oray78/status/1844675100626559312,1778840016409743360,bedul_oray78
1844643505534378200,Fri Oct 11 09:42:22 +0000 2024,0,@malachobi ⠀𐔌⠀﹒Terima kasih KOMENG!,1844674895462154304,,malachobi,in,"⠀:¨ ·.· ¨:⠀
⠀ `· . ୨୧⠀ 𝓣𝒉𝒆 𝓐𝒓𝒄𝒉𝒐𝒏𝒔.",0,0,0,https://x.com/kyoimuzi/status/1844674895462154304,776917818419712000,kyoimuzi
1844674850318877009,Fri Oct 11 09:42:11 +0000 2024,0,[FULL] Celetukan Komeng Saat Jadi Rebutan Komisi II dan III antara Seni Budaya atau Pertanian https://t.co/8Q0OJGmRCK,1844674850318877009,,,in,Jakarta,0,0,0,https://x.com/kompascom/status/1844674850318877009,23343960,kompascom
1844674672337768889,Fri Oct 11 09:41:28 +0000 2024,0,Alfiansyah Bustami Komeng anggota DPD RI tidak setuju terhadap penempatannya di Komite II yang menangani masalah pengelolaan sumber daya alam dan ekonomi. Baca selengkapnya hanya di https://t.co/Se5z84NYe2 Sumber Gambar : https://t.co/LehSxSUmCc Fikhasari #fyp #komeng https://t.co/oj7y0S8JED,1844674672337768889,https://pbs.twimg.com/media/GZmZ1SNbUAEXjKc.jpg,,in,,0,0,0,https://x.com/semenitid/status/1844674672337768889,1830808404266479616,semenitid
1844674321278787897,Fri Oct 11 09:40:05 +0000 2024,3,Celetukan Komeng usai Ditugaskan di Komite II: Saya Gak Ngerti: Viral di media sosial komedian Alfiansyah alias Komeng yang kini menjadi anggota dewan protes ditugasi di Komite II Pertanian DPD RI. https://t.co/pxxMvJtecE,1844674321278787897,,,in,"Pulo Gadung, Indonesia",0,0,0,https://x.com/tvOneNews/status/1844674321278787897,55507370,tvOneNews
1844526488776999322,Fri Oct 11 09:38:49 +0000 2024,0,@KemenperinRI @kwkwkusuma Ndak sih emang dpr nya lucu2. Sungguh menunjukan the quality level yg berada jd wakil rakyat indonesia ini. Bayangin itunganya komeng ini org baru nyemplung tp bisa jadi a voice of reason di dlm... GGWP DPR KU.....,1844674003316953177,,KemenperinRI,in,aduh dah dibilang,0,0,0,https://x.com/UncoverSakti/status/1844674003316953177,1748639359677677568,UncoverSakti
1844671107313660313,Fri Oct 11 09:36:53 +0000 2024,0,@hyukaon calafiori miripnya ama komeng kocak look closely,1844673518451183662,,hyukaon,in,he/him,1,1,0,https://x.com/calicooxx/status/1844673518451183662,1644705858406973446,calicooxx
1844673499308380234,Fri Oct 11 09:36:49 +0000 2024,3,Kemarin w gapilih dia karna ngga yakin komedian kok masuk pemerintahan tapi pas liat ini dia berani speak up ttg putusan absurd pemerintah yg malah menepatkan dia pertanian w salut sih semoga bisa amanah ya bang komeng!,1844673499308380234,,,in,,0,0,0,https://x.com/nimoncros/status/1844673499308380234,945286701915586561,nimoncros
